Company,TypeName,Inches,ScreenResolution,Ram(GB),OpSys,Weight(kg),Price_euros,HDD,SSD,TouchScreen,IPS,PPI,CpuName,GpuBrand
2,2,15.6,4,4,4,2.1,349.0,500,0,0,0,141.21,32,1
6,2,15.6,4,8,4,2.2,549.0,0,256,0,0,141.21,33,1
11,1,13.0,6,8,1,1.05,1499.0,0,512,0,1,199.69,34,1
5,1,13.3,4,8,1,1.4,931.88,0,256,0,1,165.63,34,0
6,2,17.3,3,8,4,2.8,589.0,1000,0,0,0,106.11,33,2
2,2,14.0,4,8,1,1.63,1031.0,0,256,0,0,157.35,34,2
5,1,14.0,4,8,1,1.6,1149.0,0,256,0,0,157.35,33,1
5,5,13.3,4,16,1,1.62,1279.0,0,512,1,0,165.63,34,1
5,2,15.6,4,8,3,2.2,677.35,0,256,0,0,141.21,33,0
6,5,14.0,4,8,1,1.74,899.0,0,256,0,1,157.35,33,1
10,1,13.3,4,8,1,1.2,1363.0,0,256,0,0,165.63,34,1
2,2,15.6,4,8,1,2.1,794.0,1000,0,0,0,141.21,33,1
5,4,17.3,4,16,1,4.42,2456.34,1000,256,0,1,127.34,34,2
3,2,15.6,4,8,1,2.2,832.0,0,256,0,0,141.21,34,2
5,2,15.6,4,16,1,2.3,859.01,1000,0,1,0,141.21,34,0
4,2,15.6,4,8,1,2.0,769.0,0,256,0,0,141.21,33,2
4,2,17.3,4,8,1,2.69,891.0,500,256,0,0,127.34,33,2
2,2,15.6,4,8,1,1.9,1269.0,1000,0,0,0,141.21,34,0
4,2,15.6,1,4,1,2.37,398.99,1000,0,0,0,100.45,32,1
2,2,15.6,1,4,1,2.1,330.0,500,0,0,0,100.45,16,0
6,4,15.6,4,16,1,3.2,1499.0,1000,256,0,1,141.21,34,2
5,2,14.0,4,8,1,1.6,859.0,0,256,0,0,157.35,33,1
3,5,13.3,4,8,1,1.6,689.0,0,256,1,1,165.63,33,1
5,2,15.6,4,16,3,2.36,899.0,0,256,0,0,141.21,34,0
3,2,15.6,1,4,3,2.1,390.0,1000,0,0,0,100.45,32,1
4,2,15.6,4,4,1,2.2,575.0,1000,128,0,0,141.21,2,0
4,4,17.3,4,32,1,4.7,3890.0,1000,512,0,0,127.34,34,2
3,4,15.6,4,8,1,2.5,846.0,0,256,0,1,141.21,33,2
6,2,15.6,1,8,1,2.2,589.0,0,128,0,0,100.45,32,1
4,2,17.3,4,8,1,2.1,1145.0,1000,128,0,0,127.34,34,2
4,2,17.3,4,8,4,2.69,889.0,1000,128,0,0,127.34,34,2
5,4,15.6,4,8,1,2.56,879.0,0,256,0,0,141.21,33,2
6,5,13.9,4,8,1,1.38,1079.0,0,256,1,1,158.48,34,1
5,2,15.6,4,8,1,2.2,985.0,2000,128,0,0,141.21,34,0
2,2,15.6,1,8,1,2.04,559.0,1000,0,1,0,100.45,33,1
4,4,17.3,4,16,1,3.6,2999.0,0,256,0,0,127.34,34,2
2,2,13.3,4,4,1,1.49,675.0,500,0,0,1,165.63,33,1
1,1,13.3,11,8,2,1.37,2040.0,0,512,0,1,226.98,33,1
5,5,15.6,4,8,1,2.08,819.0,1000,0,1,1,141.21,34,1
4,4,17.3,4,16,1,4.3,1799.0,1000,256,0,0,127.34,34,2
4,2,15.6,1,4,1,1.68,469.0,1000,0,0,0,100.45,11,0
6,5,13.9,4,8,1,1.37,1849.0,0,512,1,1,158.48,34,1
3,2,17.3,4,4,1,3.0,702.0,0,256,0,1,127.34,32,2
5,1,13.3,4,8,1,1.41,949.0,0,256,0,0,165.63,33,1
2,2,15.6,1,8,1,1.91,445.9,0,128,0,0,100.45,8,0
2,2,17.3,4,16,1,2.9,1059.0,1000,0,0,1,127.34,34,2
8,4,17.3,4,16,1,4.14,2499.0,1000,512,0,0,127.34,34,2
6,5,15.6,4,8,1,2.0,1699.0,0,512,1,1,141.21,34,2
5,2,17.3,4,8,1,2.8,1142.0,1000,128,0,0,127.34,34,0
6,2,15.6,4,4,4,2.2,444.0,0,256,0,0,141.21,32,1
2,2,15.6,4,4,1,2.1,722.0,500,0,0,1,141.21,33,1
5,2,15.6,4,4,1,2.18,657.0,1000,0,0,0,141.21,33,1
5,2,15.6,4,8,1,2.24,565.0,1000,0,0,0,141.21,33,0
5,5,15.6,4,8,1,2.67,799.0,0,256,1,0,141.21,33,1
4,5,13.3,4,8,1,1.1,1499.0,0,1024,1,0,165.63,34,1
6,2,15.6,4,4,4,2.2,467.0,1000,0,0,0,141.21,33,1
2,2,17.3,4,8,1,2.5,1018.0,1000,0,0,0,127.34,34,2
6,2,15.6,4,8,1,2.05,880.0,0,256,0,0,141.21,34,1
1,1,13.3,11,8,2,1.37,1958.9,0,512,0,1,226.98,33,1
4,4,17.3,4,16,1,3.2,1549.0,1000,256,0,0,127.34,23,0
5,2,15.6,4,8,3,2.14,735.07,0,256,0,0,141.21,34,0
6,5,14.0,9,16,1,1.36,2499.0,0,512,1,0,209.8,34,1
10,2,15.6,1,8,1,2.2,812.0,500,0,0,0,100.45,34,2
5,2,15.6,1,12,1,2.3,713.07,1000,0,0,0,100.45,34,1
5,2,17.3,4,8,3,2.8,1099.0,1000,128,0,0,127.34,34,0
